TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,16125,26875,100000,100000,0
1,100,3169,5282,100000,100000,0
2,100,53500,89167,100000,100000,0
3,100,23898,39830,100000,100000,0
4,100,16593,27656,150000,150000,0
5,100,79414,132358,200000,200000,0
6,100,26743,44572,200000,200000,0
7,100,5062,8438,250000,250000,0
8,100,58549,97582,300000,300000,0
9,100,31775,52959,350000,350000,0
10,100,135010,225018,450000,450000,0
11,100,26116,43528,450000,450000,0
12,100,22108,36847,500000,500000,0
13,100,5838,9731,600000,600000,0
14,100,44061,73435,600000,600000,0
