TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,6757,11262,100000,100000,0
1,100,14046,23411,100000,100000,0
2,100,30979,51632,150000,150000,0
3,100,19096,31828,200000,200000,0
4,100,52064,86774,250000,250000,0
5,100,29929,49883,250000,250000,0
6,100,48192,80320,250000,250000,0
7,100,47380,78967,300000,300000,0
8,100,10740,17901,300000,300000,0
9,100,62484,104141,300000,300000,0
10,100,64348,107248,350000,350000,0
11,100,112093,186823,550000,550000,0
12,100,120624,201041,700000,700000,0
13,100,145503,242505,700000,700000,0
14,100,139528,232548,700000,700000,0
