TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,10549,17583,100000,100000,0
1,100,12359,20599,100000,100000,0
2,100,2967,4945,100000,100000,0
3,100,2336,3894,150000,150000,0
4,100,3702,6170,150000,150000,0
5,100,10772,17954,200000,200000,0
6,100,27856,46428,200000,200000,0
7,100,3987,6645,350000,350000,0
8,100,16456,27427,350000,350000,0
9,100,31971,53285,350000,350000,0
10,100,15756,26260,450000,450000,0
11,100,18346,30577,450000,450000,0
12,100,1811,3019,500000,500000,0
13,100,43884,73141,550000,550000,0
14,100,36871,61453,600000,600000,0
15,100,13998,23330,700000,700000,0
16,100,48994,81657,700000,700000,0
17,100,5190,8650,700000,700000,0
