TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,5107,8512,100000,100000,0
1,100,501,835,100000,100000,0
2,100,21228,35381,100000,100000,0
3,100,6045,10075,100000,100000,0
4,100,16567,27612,150000,150000,0
5,100,3255,5425,150000,150000,0
6,100,10836,18060,150000,150000,0
7,100,2166,3610,200000,200000,0
8,100,17574,29290,200000,200000,0
9,100,5225,8709,200000,200000,0
10,100,9193,15322,250000,250000,0
11,100,4236,7060,300000,300000,0
12,100,725,1209,300000,300000,0
13,100,17332,28887,400000,400000,0
14,100,7089,11816,400000,400000,0
15,100,17107,28512,550000,550000,0
16,100,89199,148665,600000,600000,0
17,100,5854,9758,750000,750000,0
