TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,10892,18154,100000,100000,0
1,100,1745,2909,100000,100000,0
2,100,2170,3617,100000,100000,0
3,100,3131,5219,100000,100000,0
4,100,5760,9601,100000,100000,0
5,100,2025,3376,150000,150000,0
6,100,32847,54745,200000,200000,0
7,100,10732,17888,250000,250000,0
8,100,22773,37956,250000,250000,0
9,100,12888,21481,350000,350000,0
10,100,17425,29043,350000,350000,0
11,100,1079,1799,350000,350000,0
12,100,3924,6541,400000,400000,0
13,100,2538,4231,400000,400000,0
14,100,18415,30692,700000,700000,0
15,100,94334,157224,700000,700000,0
16,100,50028,83380,750000,750000,0
17,100,62062,103438,800000,800000,0
