TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,1278,2130,100000,100000,0
1,100,139,232,100000,100000,0
2,100,58318,97197,100000,100000,0
3,100,4389,7315,100000,100000,0
4,100,470,784,150000,150000,0
5,100,837,1395,200000,200000,0
6,100,1696,2827,250000,250000,0
7,100,8687,14479,350000,350000,0
8,100,5519,9199,350000,350000,0
9,100,3370,5617,400000,400000,0
10,100,2155,3592,400000,400000,0
11,100,47947,79912,400000,400000,0
12,100,11776,19627,600000,600000,0
13,100,396,660,600000,600000,0
14,100,45652,76087,700000,700000,0
15,100,1660,2767,750000,750000,0
16,100,25801,43003,800000,800000,0
17,100,9349,15583,900000,900000,0
