TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,6681,11136,100000,100000,0
1,100,986,1644,100000,100000,0
2,100,488,814,100000,100000,0
3,100,13184,21974,150000,150000,0
4,100,8109,13516,150000,150000,0
5,100,21215,35359,200000,200000,0
6,100,4025,6709,200000,200000,0
7,100,19082,31804,200000,200000,0
8,100,9600,16001,200000,200000,0
9,100,25648,42747,250000,250000,0
10,100,10170,16951,400000,400000,0
11,100,16850,28084,400000,400000,0
12,100,14565,24276,400000,400000,0
13,100,12340,20568,400000,400000,0
14,100,6724,11207,450000,450000,0
15,100,30163,50273,500000,500000,0
16,100,40294,67157,500000,500000,0
17,100,47817,79695,650000,650000,0
