TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,11002,18337,100000,100000,0
1,100,1615,2693,100000,100000,0
2,100,9028,15048,100000,100000,0
3,100,21062,35104,150000,150000,0
4,100,10162,16937,250000,250000,0
5,100,2256,3760,250000,250000,0
6,100,13819,23033,250000,250000,0
7,100,12136,20228,350000,350000,0
8,100,7059,11766,350000,350000,0
9,100,4983,8306,400000,400000,0
10,100,1269,2115,450000,450000,0
11,100,14726,24544,600000,600000,0
12,100,108270,180450,600000,600000,0
13,100,45188,75314,700000,700000,0
14,100,4074,6791,700000,700000,0
15,100,56900,94834,750000,750000,0
16,100,23479,39132,800000,800000,0
17,100,37947,63246,800000,800000,0
