TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,5537,9229,100000,100000,0
1,100,6759,11265,100000,100000,0
2,100,941,1569,100000,100000,0
3,100,8895,14825,150000,150000,0
4,100,5968,9948,150000,150000,0
5,100,6846,11410,150000,150000,0
6,100,7624,12707,150000,150000,0
7,100,10782,17971,150000,150000,0
8,100,10696,17827,150000,150000,0
9,100,6508,10847,250000,250000,0
10,100,9978,16631,300000,300000,0
11,100,25108,41847,350000,350000,0
12,100,24252,40420,350000,350000,0
13,100,35257,58763,500000,500000,0
14,100,39230,65384,600000,600000,0
15,100,50326,83878,700000,700000,0
16,100,46972,78287,750000,750000,0
17,100,15376,25628,850000,850000,0
