TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,23589,39316,100000,100000,0
1,100,23534,39224,100000,100000,0
2,100,17706,29511,100000,100000,0
3,100,24022,40038,150000,150000,0
4,100,32509,54183,150000,150000,0
5,100,28834,48058,150000,150000,0
6,100,24975,41626,250000,250000,0
7,100,35398,58998,250000,250000,0
8,100,6727,11212,250000,250000,0
9,100,56416,94028,250000,250000,0
10,100,21024,35040,400000,400000,0
11,100,60743,101239,500000,500000,0
12,100,127604,212674,550000,550000,0
13,100,143859,239765,700000,700000,0
14,100,53835,89726,700000,700000,0
