TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,23073,38456,100000,100000,0
1,100,22267,37113,100000,100000,0
2,100,21661,36102,150000,150000,0
3,100,4219,7032,150000,150000,0
4,100,24369,40615,150000,150000,0
5,100,25735,42893,250000,250000,0
6,100,51253,85423,250000,250000,0
7,100,53751,89586,250000,250000,0
8,100,19910,33184,250000,250000,0
9,100,13672,22787,250000,250000,0
10,100,62523,104205,350000,350000,0
11,100,49820,83034,400000,400000,0
12,100,115712,192854,600000,600000,0
13,100,182284,303807,800000,800000,0
14,100,184303,307173,800000,800000,0
