TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,29625,49376,100000,100000,0
1,100,4021,6702,100000,100000,0
2,100,13012,21688,100000,100000,0
3,100,15391,25653,100000,100000,0
4,100,10767,17946,150000,150000,0
5,100,13423,22373,150000,150000,0
6,100,53670,89451,150000,150000,0
7,100,6497,10829,250000,250000,0
8,100,53050,88418,250000,250000,0
9,100,62398,103998,250000,250000,0
10,100,145188,241980,350000,350000,0
11,100,22170,36951,400000,400000,0
12,100,99500,165834,550000,550000,0
13,100,8833,14722,700000,700000,0
14,100,76174,126958,700000,700000,0
