TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,18470,30784,100000,100000,0
1,100,5817,9695,100000,100000,0
2,100,39313,65523,100000,100000,0
3,100,34780,57967,100000,100000,0
4,100,44045,73409,150000,150000,0
5,100,6350,10584,150000,150000,0
6,100,3339,5566,250000,250000,0
7,100,27976,46627,300000,300000,0
8,100,75166,125277,300000,300000,0
9,100,47043,78405,350000,350000,0
10,100,55346,92244,350000,350000,0
11,100,39523,65873,350000,350000,0
12,100,30032,50054,400000,400000,0
13,100,96767,161279,450000,450000,0
14,100,16464,27440,600000,600000,0
