TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,3042,5070,100000,100000,0
1,100,5592,9320,100000,100000,0
2,100,23649,39415,150000,150000,0
3,100,83815,139693,150000,150000,0
4,100,10637,17729,150000,150000,0
5,100,1396,2328,150000,150000,0
6,100,3882,6470,200000,200000,0
7,100,80448,134080,200000,200000,0
8,100,47934,79891,250000,250000,0
9,100,26366,43944,300000,300000,0
10,100,104750,174584,350000,350000,0
11,100,42957,71595,400000,400000,0
12,100,118132,196888,500000,500000,0
13,100,84652,141087,650000,650000,0
14,100,29766,49611,700000,700000,0
