TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,19103,31839,100000,100000,0
1,100,19039,31733,100000,100000,0
2,100,28654,47758,150000,150000,0
3,100,16492,27488,350000,350000,0
4,100,29750,49584,350000,350000,0
5,100,58883,98139,350000,350000,0
6,100,62029,103383,350000,350000,0
7,100,75709,126183,400000,400000,0
8,100,45964,76608,400000,400000,0
9,100,102889,171483,550000,550000,0
10,100,104980,174968,550000,550000,0
11,100,105057,175096,550000,550000,0
12,100,109959,183265,600000,600000,0
13,100,93288,155480,600000,600000,0
14,100,131137,218562,950000,950000,0
