TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,11338,18897,100000,100000,0
1,100,39231,65385,100000,100000,0
2,100,3280,5467,100000,100000,0
3,100,30033,50056,100000,100000,0
4,100,19795,32993,100000,100000,0
5,100,27332,45554,200000,200000,0
6,100,41061,68435,250000,250000,0
7,100,27984,46640,300000,300000,0
8,100,72326,120544,300000,300000,0
9,100,6297,10495,300000,300000,0
10,100,35923,59873,600000,600000,0
11,100,6564,10941,650000,650000,0
12,100,29700,49501,650000,650000,0
13,100,386736,644560,750000,750000,0
14,100,71832,119721,950000,950000,0
