TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,25451,42419,150000,150000,0
1,100,32182,53638,150000,150000,0
2,100,41528,69214,200000,200000,0
3,100,50409,84015,250000,250000,0
4,100,53446,89077,250000,250000,0
5,100,87030,145051,450000,450000,0
6,100,28426,47378,450000,450000,0
7,100,76975,128293,500000,500000,0
8,100,57150,95251,500000,500000,0
9,100,16561,27602,500000,500000,0
10,100,45103,75173,500000,500000,0
11,100,74537,124229,550000,550000,0
12,100,118039,196733,550000,550000,0
13,100,109673,182789,600000,600000,0
14,100,148127,246879,700000,700000,0
