TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,25094,41824,100000,100000,0
1,100,35607,59346,100000,100000,0
2,100,28700,47834,100000,100000,0
3,100,7002,11670,150000,150000,0
4,100,9558,15930,150000,150000,0
5,100,6087,10145,200000,200000,0
6,100,65611,109352,200000,200000,0
7,100,57384,95641,300000,300000,0
8,100,76788,127980,350000,350000,0
9,100,35229,58715,350000,350000,0
10,100,6705,11176,450000,450000,0
11,100,60426,100711,500000,500000,0
12,100,124371,207285,750000,750000,0
13,100,61250,102084,750000,750000,0
14,100,121109,201849,850000,850000,0
