TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,36028,60048,150000,150000,0
1,100,7306,12177,150000,150000,0
2,100,28572,47621,150000,150000,0
3,100,17971,29952,250000,250000,0
4,100,34012,56687,250000,250000,0
5,100,38853,64755,250000,250000,0
6,100,57797,96329,250000,250000,0
7,100,74038,123397,300000,300000,0
8,100,63591,105985,550000,550000,0
9,100,135105,225176,550000,550000,0
10,100,13603,22673,550000,550000,0
11,100,120765,201275,550000,550000,0
12,100,123533,205889,600000,600000,0
13,100,61236,102060,650000,650000,0
14,100,138880,231468,800000,800000,0
