TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,7819,13033,100000,100000,0
1,100,4252,7087,100000,100000,0
2,100,12529,20882,100000,100000,0
3,100,5070,8451,100000,100000,0
4,100,3471,5786,100000,100000,0
5,100,10269,17115,150000,150000,0
6,100,8899,14832,150000,150000,0
7,100,969,1616,150000,150000,0
8,100,15000,25001,150000,150000,0
9,100,2629,4382,200000,200000,0
10,100,5448,9081,200000,200000,0
11,100,4012,6688,200000,200000,0
12,100,28086,46810,250000,250000,0
13,100,44332,73888,500000,500000,0
14,100,126174,210290,950000,950000,0
