TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,376,627,100000,100000,0
1,100,3061,5103,100000,100000,0
2,100,10074,16791,150000,150000,0
3,100,32047,53412,200000,200000,0
4,100,3838,6398,200000,200000,0
5,100,15081,25135,300000,300000,0
6,100,1805,3009,300000,300000,0
7,100,3467,5779,300000,300000,0
8,100,28758,47931,300000,300000,0
9,100,621,1036,350000,350000,0
10,100,149356,248927,350000,350000,0
11,100,12131,20219,500000,500000,0
12,100,11280,18800,750000,750000,0
13,100,7729,12882,900000,900000,0
14,100,35011,58352,900000,900000,0
