TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,11356,18927,100000,100000,0
1,100,4957,8263,100000,100000,0
2,100,2908,4847,150000,150000,0
3,100,8287,13813,200000,200000,0
4,100,25058,41764,250000,250000,0
5,100,7918,13197,300000,300000,0
6,100,20377,33963,350000,350000,0
7,100,4435,7393,350000,350000,0
8,100,35310,58850,400000,400000,0
9,100,34841,58069,450000,450000,0
10,100,16864,28108,500000,500000,0
11,100,3109,5183,500000,500000,0
12,100,68630,114384,500000,500000,0
13,100,70465,117443,550000,550000,0
14,100,60717,101196,900000,900000,0
