TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,100,712,1188,100000,100000,0
1,100,3229,5383,200000,200000,0
2,100,11827,19713,200000,200000,0
3,100,10908,18181,250000,250000,0
4,100,45089,75149,300000,300000,0
5,100,194230,323718,400000,400000,0
6,100,8211,13685,400000,400000,0
7,100,13364,22274,400000,400000,0
8,100,657,1096,450000,450000,0
9,100,4817,8029,500000,500000,0
10,100,14345,23909,550000,550000,0
11,100,2331,3886,750000,750000,0
12,100,4482,7471,900000,900000,0
13,100,77634,129391,900000,900000,0
14,100,11332,18887,900000,900000,0
